reviewStar,reviewText,inconsistentStatus
3,Doesn't do what it says it does at all,0
3,Nails still split,0
3,It does whiten and moisturize.,0
3,didn't work,0
3,Product didn’t do as advertised,0
3,I bought this based on the reviews but I think this is a smelly coconut oil and didn't work as it was supposed to.,0
3,"After weeks of use,  nails stil chop and break",0
3,Hasn't made much of a difference yet but I keep using it,0
3,did not notice any results,0
3,Not really sure about this yet.  Its a hard cream.  I expected it to be thinner like a lotion.  Its greasy so you have to wipe your hands off after.I really haven't been using it long enough to give a review on whether or not it works,0
3,"My nails still split, bend, and tear. I don't use it as often as in the beginning.",0
3,"Haven't had it long. The smell is overwhelming!  So, I won't use it very often.",0
3,Used for a couple of months but didn't notice any difference with my nails.,0
3,Not as effective as I had hoped. A little thin.,0
3,Helped cuticles but not nails.,0
3,"It moisturizes, but so far I really can’t see any difference.",0
3,I didn't notice any difference between this and other nail/hand creams,0
3,It’s ok. Been using for two months now and my nails are same.,0
3,Didn’t work,0
3,Not seen any miracles but still trying after a month.,0
3,I believe it hardened my fingernails.,0
3,I can't give a rating yet I just received it and have only used 1 day.,0
3,It’s ok. But don’t thinkIt helped my nails & I put it on every day,0
3,It seems to work. The only drawback is the OVERWHELMING coconut smell.,0
3,Either this takes awhile to work or it doesn't work as much as everyone says it does. My nails are still breaking after 3 weeks...,0
3,Doesn’t work,0
3,I gave it 3 out of 5 stars because the instructions say use 3x per day. I don't have time to apply 3x per day. This means I would have to carry it around.,0
3,I received this gel no white topcoat and it was very clumpy you couldn’t even use And that’s upsetting because I love this product,0
3,The top coat is fine dries perfectly.The base however does not ever dry fully and so the nail polish peels off After a couple days no despite the top coat.,0
3,It turns a yellowish color when cured.,0
3,Not long-lasting,0
3,It does not dry and it comes right off at the slightest touch,0
3,Still have to wipe,0
3,"I don’t know what I’ve been doing wrong, if anything, but the base coat cures in a weird way. It will almost bubble and shrink to one side of my nail. I thought it was my technique or lamp, but I later found out it wasn’t the case. The top coat is pretty solid though, so I’ll keep using that.",0
3,I cured the base and top coats with a 45W LED Lamp for 60 seconds and they were still sticky + tacky. Even cured them for an additional 30 after that and still sticky. Tried to wipe them off after a while and it just takes the polish off. Very difficult to remove residue as well.,0
3,"It's more expensive than the one I've used before. Also my nail polish doesn't last, I'm going back to the other one I used. Atleast that one is $2 cheaper and it lasted me 2 weeks.",0
3,Has a harsh smell other then that it work good,0
3,You still have to wipe.,0
3,Doesn’t last as long as other products I’ve used.,0
3,"Kinda thick, does not last long",0
3,"Did not use for 3 months stored in a dark cupboard,  and when I went to use them they were chunky and wouldn't work",0
3,Polish is decent but one is obviously old because it arrived dry. Still usable but very dry.,0
3,It just doesn't leave the same shine as a regular wipe off...,0
3,Very thick. Takes 4 min to dry on led light,0
3,To small,0
3,The listing makes these look very special. Indeed they are attractive (if somewhat smaller than normal). But they don't do any better than the ones you buy at the drugstore.,0
3,They are very small,0
3,Difficult to hold and press down with precision. Don't waste your money.,0
3,"I’ve only used them once, but I was expecting them to be sharper. I wouldn’t spend $15 on these again.",0
3,I gave this product 3 stars because I felt it  performed exactly the same as a cheap clipper.,0
3,I was expecting something way different,0
3,"The edge is sharp and cuts easily. But due to the edge's thickness and higher grind angle, nails can often crack a tiny bit compare to my old Victorinox 8.2055.CB clippers.Ended up using some high grit sandpapers (1000, 2000 and 3000 grit) to sharpen my old clipper and put these in the drawers as emergency backups.Structurally, these are stronger than the Victorinox, and easier to cut some thicker and harder nails (like big toe nail).They works, but are not the best choice for me.",0
3,Not very sharp and to not come with file,0
3,"I've bought nail clippers at the usual department stores for years, brands like Revlon, Trim, etc. I was looking to replace a set so I researched the Harperton clippers and other brands. The reviews on this set were very good 4.6 out of 5 stars, over 10, 000 reviews and an Amazon Choice for high ratings and a well priced product. They are well made, sharp and ergonomic, but are not outstanding as some reviews claimed. They are actually a little shorter and slightly wider than the department store brands, but do not seem to cut any better and have no swing out nail file attached to the device. In my opinion, they are no better than the department stores and are more expensive.",0
3,Too heavy and herky - and more expensive than the set I got for my husband! Returning,0
3,Just trying it out...like it so far.,0
3,Smells decent,0
3,I put some of this on every time I go to the senior center or retirement home. 70% of the time works every time!,0
3,Na,0
3,The size of the bottle is too small.,0
3,To oily and goes away fast the fragrance,0
3,It doesn't work for me,0
3,N/a,0
3,Not a long lasting smell,0
3,There wasn't much scent at all. who knows if the pheromones' are working?,0
3,Wanted something spicier,0
3,It’s cool...I guess for what you pay it is what it is. I didn’t get any compliments and it’s more like an oil in a spray bottle.,0
3,I can hardly smell it on me,0
3,Scent and longevity. Oily and leaves mark on clothes.,0
3,It’s ait,0
3,See above headIine.,0
3,I don't know I think it's a normal colong,0
3,Did not notice a difference,0
3,"It’s a decent smelling cologne, I don’t think at all it contains pheromones. Unless, it has to do with one’s own body chemistry and how it reacts. Kind of expensive for the size and I would not rebuy.",0
3,None,0
3,"I'm in a rural part of the country.... It works I think,but I pair it with Armani",0
3,"I don't really use it often because it won't last for long, it's an oil and you need to re-apply. It's also a very light scent people barely smell it",0
3,The smell doesn't last long it fades away quick,0
3,Very normal.,0
3,Don't work,0
3,Enough said.,0
3,Pew,0
3,"Love the scent, but doesn't last long. Not too sure about the pheromone part. Don't think you can just rub on pheromones.",0
3,Just Ok. It’s an oil !,0
3,Normal,0
3,For the price I would expect longer longevity.,0
3,Nothing,0
3,It wasn't what I thinking it was,0
3,Could not tell any difference when I used it had not effect,0
3,Very oily when it goes on.,0
3,FOR EVERYDAY USE,0
3,"It appears to be just a plain scent, that doesn't really last long....",0
3,"The scent isnt that strong, the smell is interesting. Wont buy again. Some people didnt even notice i had it on",0
3,Nothing noticeable .. i think its a bit expensive,0
3,"While the scent is pleasing....at least to me, I’ve used other men’s cologne with more lasting results?",0
3,Not what I quite expected but I expect to use it.,0
3,Subpar longevity,0
3,Its to oily....,0
