reviewStar,reviewText
1,No change in nails at all.
1,Didn’t do any improvement at all.
1,"Helped cuticles, didn't do much for my nails. I gave this product a decent time line, two jars, six months. Nails didn't improve."
1,No changes!
1,"Took me over a week to get rid of the red, itchy allergy this product caused. My rating would actually be zero stars.  All the ingredients were not listed on the information I read."
1,"Not sure why other reviewers gave such high ratings. For me I don’t see any change whatsoever. I’ve applied as directed every day each time I washed my hands and you know with the virus I’m washing even more. My nails continue to chip, peel and crack."
1,This product did not work for me. I see no difference whatsoever. It is just an overpriced Petroleum jelly.
1,I couldn’t get the smell off my nails! If it came UNSCENTED it would be great. It made me AND my husband sick to my stomach 😢😡
1,"I’m pretty sure this dried out my nails, I don’t have issues when using an oil but while using this I had more breakage which is a bummer because I was excited after seeing the ingredients. I’ll stick with cuccio m&h, I regret straying!!"
1,The box was damaged and there was supposed to be 2 jars in it. only 1 was there
1,I do not like the smell so I don't know if it works or not
1,The product did not work for me.  My nails are now worse than before I started using it about three months ago.  I still have splits and cracks in my nails.
1,It made my nails worse. They are so soft now they just rip off no matter what I’m doing
1,No
1,Apply daily and my nails are almost getting more brittle they are in terrible condition. The product did not help whatsoever
1,This didn’t help my nails. They were still dry and brittle. A waste of money.
1,Made my nails worse!!
1,Made my fingers peel and left them sore.  Saw no benefit to my nails.
1,"Used it for a month and saw no difference. Doesn't work, my nails are still soft, break and peal"
1,No change in nail hardness.
1,Didn’t work as expected. Very disappointed
1,"I guess it's moisturizing..I only used it once for about 10 minutes ..IT STINKS..very strong smelling..not vanilla , not coconut , was it bad past expiration not sure could not place smell..on to next thing.."
1,This has Formaldehyde and that is bad for nails. Not happy this label was not shown
1,"Despite using this product for over a month, my nails have not improved.  They continue to crack and chip daily.  For me it was a waste of money."
1,"Smells horrible, did nothing for my nails and left my hands feeling greasy to the point I had to wash it off. Between the small and the feeling of this stuff I would get nauseated."
1,i have been using for appox. 3weeks NO IMPROVEMENT
1,All the reviews for it made me believe it would work. I used it for over a month and it did nothing to my nails. They keep breaking and are still very weak.
1,I was diagnosed with dry nails by a dermatologist.  This product had no effect on my nails.  I applied the product several times a day for over a month without any change.
1,Unpleasant odor. Used 3 times per day for a month with no benefit.
1,Product was not effective.  Used the entire jar as directed.  No visible difference in nail quality.  Nails are still tattered and without any visible positive change after using this product.  I have the empty jar
1,Poor product. Not worth the $$.
1,"This is basically lotion. I bought them because one of my nails splits down the middle and I am a guitar player. This did not help me. What's worse is that although I only ordered one, I received two and was charged for both of them."
1,"this product has made my nails start to lift from underneath, I'm unsure if it is an allergic reaction to something this product but now my nails have skin peeling from beneath my nail and very itchy fingertips. I had to go get medicine to stop the itching and used aquaphor to relieve the skin breakage. I do not recommend for anyone with sensitive skin."
1,"Smells real nice, but my nails haven’t gotten any better. They still break and chip and crack. Won’t be buying again"
1,I tried this for a 4 weeks and honestly I think it made my cuticles really dry. I have extremely dry skin and always have and this doesn’t help at all. I gave it away to see if someone else would like it but I wouldn’t recommend this to anyone who has very dry skin and cuticles. It didn’t help my nails get any harder or grow either.
1,"This product does NOT smell like coconut. It reminds me of the hoof my dog used to chew on. It might have worked if I could have gotten past the smell, but I couldn't use it 3 time a day."
1,Gave it time to see if it would work but my nails are still weak but It is moisturizing for the cuticles.
1,"I don’t understand the other reviews but this product cracked and chipped my nails. I had to cut them all off due to peeling and chipping. When I stopped using it my nails grew back no peeling, chipping or cracking. I decided to use it again and it started peeling and cracking."
1,"It makes your nails worse unless you use it every day multiple times. If you stop for a while, they become weaker then ever."
1,My nails are still cracking. No good.
1,It is more than one and half a month I am using this product.. unfortunately I didn't recognize any changes to my nails
1,I was not impressed with this product it did not meet my expectations.
1,"Unfortunately after using this product, I did not see any improvement in the strength or thickness of my nails. The worse part is that most of my nails, after extended use, formed a break on the side far down in the mail bed. So even if I did have some length on my nail, I was forced to cut it off. Many of them had to be cut well into the fleshy part of the nail, so then it just looked like I was a ""nail biter"". I did stop using this product & started it again to determine if it was the product. I got them same breaks on several nails (all at once) only after using this product. So I feel it's safe to say this product does NOT work for me."
1,"I loved the smell and texture of the product, however is had a horrible negative impact on my nails. My nails became very soft and the the tips were peeling off in layers. It's taken me a month to get my nails back to healthy after discontinuing use"
1,Notice no change in nailsAt this time have to say purchase was uselessSave your money
1,This is not the same one you’d buy at the stores the consistency is sticky and gross. It’s not oily or even near the smell of the correct product.
1,Not even a good moisturizer in my opinion
1,Unfortunately I have been using this product for six months and my nails have not grown and are as brittle as ever.
1,Pls Pls Pls don't waste your money!!!!!  This stuff is NO GOOD!!! All my nails on my left hand broke off.  Now I'm stuck with this dollar  store garbage and out of over $8  STAY AWAY
1,"I ordered this for myself and my friend and we have never had so many hangnails. We gave it 2 months and still terrible hangnails. This supposedly was supposed to be good for cuticles, we have not found this the case. Very disappointing."
1,"After all the good reviews I was excited to try this.  Have tried so many things - biotin, Collagen (which seemed to help the most and then stopped helping), coconut oil, Hard as Nails - and nothing kept my nails from splitting and peeling and breaking.  Some nails have vertical lines which did not go away.  I was determined to use it at least 3 times a day and was very disciplined about doing so but, alas, the more I used it the worse my nails got until I had to cut them as short as I could right down to the flesh.  I guess it works for some people but not unfortunately not for everyone."
1,"Very disappointed in this product. Nice smell, moisturizes, thick. Just doesn’t do what it’s advertised to do. My nails are still getting ridges, splitting, and easily broken after ten days of use as directed. Not recommended."
1,Yuck!! The smell of this is SO bad!! I couldn’t even leave it on to test it out it was so bad. I would never buy this again. Garbage is where it is now
1,Smells horrible. Wish it was unscented. The smell makes me nauseous.
1,Product smells nice but did not strengthen my nails at all.
1,The smell is so bad I can’t even use it. Do not recommend
1,This product does not work. As soon as I put it on I need more. Sigh! I’m so tired of spending all of my money with these products that don’t work.
1,Did not strength my nails at all! Still flakes and broke
1,Makes my cuticles very dry and hard!
1,"This didn’t strengthen my nails at all! They might’ve broken more than normal. This is nothing more than a lotion. I was hoping for something with actual results. I even used it multiple times a day as it suggested!  For now, I’ll go back to Hard as Nails since it actually does something!"
1,Product did not strengthen nails but made them weak and constantly breaking.
1,This product caused my nails to literally start tearing off at the tips it had the opposite effect it was supposed to and now my nails are burning. I’m not sure if mine was defective but I can’t recommend this despite the good reviews.
1,"Was excited to use this as I've had a hard time getting my nails to grow.  After using this for a week my nails are softer than ever and keep splitting and breaking.  It's going in the trash, so disappointed."
1,"Used the entire container, nails are no better than at the start. Useless."
1,Used two months no difference
1,"Horrible, waste of money. Does not work at all"
1,Don’t like the smell!Also don’t think it did anything for me.
1,I saw no difference in my nails after using this product continuously for several weeks.
1,Did nothing to improve my nails.  Waste of money.
1,I've broken 2 nails since I started using this about 3 weeks ago.  I haven't noticed any changes in my nails. THIS was  aWASTE  of  $$$ for m
1,Didn't like
1,"Complete waste of money and did nothing at all, just a bunch of grease in a cup. I used it consistently and nothing at all happened, don’t even bother."
1,Makes tissue swell if you touch face.  Causes allergic response topically.  I am not sensitive to products or have allergies.  Be aware.
1,I don't know if this product is effective.  I only used it once The extremely strong and musky perfume gave me a very bad allergy attack and migraine headache.
1,"The ""cream"" was Used and very hard. No opportunity to use it. Nor that I would buy it again!"
1,Waste of money. Nails still splitting.
1,"Package arrived ripped open and somewhat taped back together, and the product was cracked and damaged. Post office marked package as having received it damaged. I’m extremely unsatisfied and bothered that such little care was put into the shipping of the product, am returning."
1,use that stuff constantly put it on my fingers constantly  just kept cracking and splitting down the middle it was terrible.
1,"I have been using this product for over a month.  So far I have no improvement in my nails whatsoever.  They are still brittle, lined and look, I think even worse.  A big waste of my money."
1,"This was a total waste of my money & time! Despite applying the product as instructed, my nails became weaker & kept breaking at the tips."
1,"Showed no improvement for nails. After putting on 3-5 times daily, for weeks nail still peel, bend and tear."
1,"Not doing nothing for nails. Seems to be making them weaker and splitting, cracking and peeling more."
1,I bought this product based on other reviews that said it helped to strengthen the nails. So far my nails have broken more now than ever. Waste of money. Will not purchase again.
1,"It did not work for my nails, no improvement"
1,Does not absorb.  Very strong coconut fragrances. Prefer the Healthy Hoof.
1,The texture was hard like the product was old and hard to get out thr container. I used it for a few months with no results in nails or skin around nails sadly.
1,"Awful. Greasy. **Terrible** smell. Disappointed; this was hyped to be ""THEE"" cream to get ... WRONG!"
1,The product did not work at all. My nails are the same ):
1,I would not recommend.  My nails are now splitting and peeling after using.
1,"Used it for two months, no results at all.Didn’t work for my nails ☹️"
1,"Could not stand the smell of this product. I did persevere, but I saw no difference after about a month. I ended up throwing it out."
1,"Ugh. Can’t stand the smell! Makes me nauseous. Because it smells so bad I’ve only used it twice. I was hoping I could get used to the smell, but it’s just not possible. I can’t comment on how well it works, otherwise."
1,"This is terrible, does nothing as states.How can people write that this product was good"
1,It’s been a month I’mUsing this  product butDid not see any difference at all :(
1,Did not strengthen my nails
1,Have been using this for a couple weeks now and nails worse than when I started... very dissapointing.
1,I didnt have a problem with my nails growing but they wouldn't get that long before chipping and breaking. Since using this my nails are way worse they never bent in half like they do now! They wont even grow now as soon as they get past the skin they are tearing away I'm so upset!
1,Consistency changed from creamy to hard crumples after a week making it useless
1,Been using for two weeks and I actually think my cuticles are drier than before I started with it.  Scent is bad too. Save your money.
1,"Used this product 3 times a day for a few weeks.  Did nothing to existing nail.  Polish would peel right off - jar states ""works over nail polish"".  Disappointed."
1,Threw this a way in three days. Dried out my cuticles like nothing I’ve ever seen. Horrible. I was so mad I didn’t even ask for a refund just threw it out
1,product didn’t work as expected. I applied the product I stated in the directions. This did absolutely nothing to harden my nails or soften my cuticles. It was moisturizing as any other type of cream when I put it on but had no lasting affect.  Find something else.
1,"It smells wonderful but I developed a really nasty rash after using it for about 2 days.  I was very upset because I can’t return it.  It smells amazing, and moisturizes so well."
1,Did not help my nails one bit!
1,"I have used it consistently for two weeks and my nails are no better, split and break.  Scent is very nice. But I don't know what else to say, but so far, no good for me."
1,I love this brand and have many of their polishes and builder gels and I love all of them. But unfortunately my no wipe top coat bottle was dry and empty. I dont see the option to contact seller about it though.
1,"MY NAILS STARTED TO LIFT, THICKEN, SEPERATE AND TURN YELLOW! It’s so painful and disgusting looking DO NOT BUY THIS CHEAP GARBAGE IT WILL RUIN YOUR NAILS!!!!"
1,It is impossible to remove and broke my real nails
1,I only used these once and won't bother again. The application was fine and my nails looked fine when I was done but in a day or 2 it yellowed so bad I had to file it off and use my regular trusted brand.
