Name,Total UD Bigram,Unique UD Bigram %,Total UD Trigram,Unique UD Trigram %,Roberta Review Score,Roberta Bigram Score,Roberta Trigram Score,VADER Review Score,VADER Bigram Score,VADER Trigram Score,Pre-Processed,Spell Checked
NPP_all_reviews,4715149,2.3402%,4328085,0.2891%,0.7504,0.4556,0.4614,0.5291,0.1817,0.2395,0,0
NPP_all_reviews_compoundCustomSpellCorrected,4661195,2.3706%,4279045,0.286%,0.7423,0.4518,0.4565,0.5339,0.1837,0.2413,0,1
NPP_all_reviews_compoundSpellCorrected,4599665,2.3214%,4219202,0.2456%,0.7412,0.4537,0.4585,0.5299,0.1863,0.2439,0,1
NPP_all_reviews_customSpellCorrected,4644227,2.3222%,4260987,0.2767%,0.7462,0.4535,0.459,0.5328,0.1851,0.243,0,1
NPP_all_reviews_customTextBlobSpellCorrected,4733491,2.291%,4346303,0.2736%,0.7471,0.4559,0.4604,0.5273,0.1829,0.2407,0,1
NPP_all_reviews_spellCorrected,4480009,2.1936%,4099581,0.2083%,0.7435,0.4553,0.4625,0.5292,0.1887,0.2471,0,1
NPP_all_reviews_standardTextBlobSpellCorrected,4595362,2.0556%,4210184,0.2052%,0.7188,0.4519,0.4555,0.5155,0.1848,0.2434,0,1
NPP_apple,787637,1.319%,747294,0.143%,0.7367,0.4368,0.4389,0.5486,0.1666,0.2254,0,0
NPP_apple_compoundCustomSpellCorrected,800208,1.3509%,759935,0.143%,0.7302,0.4345,0.4363,0.5456,0.1649,0.2231,0,1
NPP_apple_compoundSpellCorrected,794950,1.326%,754808,0.1306%,0.7274,0.4376,0.4401,0.5319,0.1675,0.2253,0,1
NPP_apple_customSpellCorrected,780387,1.3135%,740194,0.1368%,0.7323,0.4352,0.4372,0.5495,0.1683,0.2273,0,1
NPP_apple_customTextBlobSpellCorrected,788102,1.2932%,747763,0.1399%,0.7332,0.4373,0.4384,0.5485,0.1672,0.2261,0,1
NPP_apple_spellCorrected,757372,1.2426%,717355,0.1057%,0.7283,0.4367,0.4408,0.5416,0.171,0.2303,0,1
NPP_apple_standardTextBlobSpellCorrected,770106,1.1802%,729867,0.1088%,0.7094,0.4343,0.4336,0.5481,0.1696,0.2291,0,1
NPP_Google,3927512,1.874%,3580791,0.2332%,0.7518,0.4594,0.4661,0.527,0.1848,0.2424,0,0
NPP_Google_compoundCustomSpellCorrected,3860987,1.8958%,3519110,0.2269%,0.7435,0.4554,0.4608,0.5326,0.1876,0.2452,0,1
NPP_Google_compoundSpellCorrected,3804715,1.8615%,3464394,0.1958%,0.7426,0.457,0.4625,0.5297,0.1902,0.2479,0,1
NPP_Google_customSpellCorrected,3863840,1.8615%,3520793,0.2207%,0.7477,0.4572,0.4636,0.531,0.1884,0.2464,0,1
NPP_Google_customTextBlobSpellCorrected,3945389,1.8319%,3598540,0.2176%,0.7486,0.4596,0.4649,0.525,0.186,0.2437,0,1
NPP_Google_spellCorrected,3722637,1.7586%,3382226,0.1617%,0.7451,0.4591,0.4672,0.5279,0.1923,0.2507,0,1
NPP_Google_standardTextBlobSpellCorrected,3825256,1.6596%,3480317,0.1741%,0.7198,0.4555,0.4601,0.512,0.1879,0.2464,0,1
NPP_Daylio,1077285,0.6377%,989460,0.0528%,0.7614,0.4449,0.4433,0.5993,0.1691,0.2244,0,0
NPP_Daylio_compoundCustomSpellCorrected,1072682,0.6587%,985529,0.056%,0.7548,0.4418,0.4381,0.6044,0.1697,0.225,0,1
NPP_Daylio_compoundSpellCorrected,1061152,0.654%,974190,0.056%,0.7546,0.4429,0.4394,0.6032,0.1711,0.2267,0,1
NPP_Daylio_customSpellCorrected,1065202,0.6353%,977914,0.0528%,0.7583,0.4435,0.4409,0.6027,0.1716,0.2273,0,1
NPP_Daylio_customTextBlobSpellCorrected,1079637,0.6314%,991822,0.0622%,0.7581,0.4452,0.442,0.5997,0.1703,0.2258,0,1
NPP_Daylio_spellCorrected,1045508,0.6034%,958498,0.0435%,0.7558,0.4437,0.4422,0.6009,0.1727,0.2289,0,1
NPP_Daylio_standardTextBlobSpellCorrected,1066030,0.5971%,978364,0.0528%,0.7268,0.4417,0.4378,0.5841,0.17,0.226,0,1
NPP_eMoodTracker,45997,0.1045%,42725,0.0%,0.7036,0.4251,0.4126,0.5353,0.1468,0.1969,0,0
NPP_eMoodTracker_compoundCustomSpellCorrected,46025,0.1052%,42757,0.0031%,0.6984,0.4248,0.4112,0.5394,0.1472,0.1974,0,1
NPP_eMoodTracker_compoundSpellCorrected,45724,0.099%,42464,0.0031%,0.6989,0.4255,0.412,0.5368,0.148,0.1983,0,1
NPP_eMoodTracker_customSpellCorrected,45809,0.1021%,42541,0.0%,0.7026,0.4254,0.4126,0.5372,0.148,0.1984,0,1
NPP_eMoodTracker_customTextBlobSpellCorrected,46097,0.0998%,42825,0.0%,0.7005,0.4256,0.4113,0.5299,0.1476,0.1974,0,1
NPP_eMoodTracker_spellCorrected,44871,0.0904%,41613,0.0031%,0.7003,0.4263,0.4152,0.5346,0.1502,0.2013,0,1
NPP_eMoodTracker_standardTextBlobSpellCorrected,45556,0.0967%,42286,0.0031%,0.6696,0.4256,0.4116,0.5204,0.1486,0.1992,0,1
NPP_iMoodJournal,34694,0.1013%,32652,0.0155%,0.7191,0.4217,0.4137,0.5919,0.1481,0.2017,0,0
NPP_iMoodJournal_compoundCustomSpellCorrected,34748,0.1045%,32713,0.0155%,0.718,0.4218,0.4126,0.5938,0.1481,0.2016,0,1
NPP_iMoodJournal_compoundSpellCorrected,34560,0.1013%,32526,0.0155%,0.7175,0.4224,0.4132,0.5906,0.1486,0.2021,0,1
NPP_iMoodJournal_customSpellCorrected,34563,0.1013%,32526,0.0155%,0.7192,0.4219,0.414,0.593,0.1491,0.2029,0,1
NPP_iMoodJournal_customTextBlobSpellCorrected,34775,0.099%,32733,0.0155%,0.7141,0.4227,0.4129,0.5887,0.1487,0.2022,0,1
NPP_iMoodJournal_spellCorrected,33977,0.0943%,31944,0.0093%,0.716,0.4224,0.4155,0.5889,0.1501,0.2043,0,1
NPP_iMoodJournal_standardTextBlobSpellCorrected,34371,0.0974%,32327,0.0155%,0.6833,0.4237,0.4136,0.584,0.1505,0.2046,0,1
NPP_MoodMeter,16480,0.0553%,15612,0.0031%,0.7124,0.4086,0.3988,0.5531,0.1337,0.1823,0,0
NPP_MoodMeter_compoundCustomSpellCorrected,16383,0.0553%,15516,0.0031%,0.7081,0.4098,0.4001,0.5562,0.1355,0.185,0,1
NPP_MoodMeter_compoundSpellCorrected,16317,0.0561%,15450,0.0031%,0.7103,0.4098,0.4,0.5556,0.136,0.1855,0,1
NPP_MoodMeter_customSpellCorrected,16376,0.0538%,15510,0.0031%,0.711,0.4086,0.3989,0.5555,0.1353,0.1847,0,1
NPP_MoodMeter_customTextBlobSpellCorrected,16532,0.0538%,15664,0.0031%,0.7043,0.4084,0.3968,0.5536,0.1344,0.1836,0,1
NPP_MoodMeter_spellCorrected,16146,0.0514%,15280,0.0031%,0.711,0.4084,0.3994,0.5539,0.1363,0.1861,0,1
NPP_MoodMeter_standardTextBlobSpellCorrected,16369,0.0507%,15499,0.0031%,0.6704,0.4065,0.3927,0.5598,0.1361,0.1859,0,1
NPP_Replika,2559448,1.9613%,2346076,0.2456%,0.7306,0.4554,0.4576,0.4904,0.1784,0.234,0,0
NPP_Replika_compoundCustomSpellCorrected,2526320,1.9769%,2316380,0.2425%,0.722,0.4513,0.453,0.4949,0.1806,0.2361,0,1
NPP_Replika_compoundSpellCorrected,2491807,1.9332%,2283073,0.2021%,0.7213,0.4521,0.4535,0.492,0.1826,0.2382,0,1
NPP_Replika_customSpellCorrected,2516909,1.9449%,2306283,0.2363%,0.7257,0.4526,0.4549,0.494,0.1818,0.2376,0,1
NPP_Replika_customTextBlobSpellCorrected,2571303,1.9106%,2357821,0.2332%,0.7277,0.4557,0.457,0.4882,0.1797,0.2353,0,1
NPP_Replika_spellCorrected,2408525,1.828%,2200023,0.171%,0.7234,0.455,0.4594,0.4895,0.1863,0.2425,0,1
NPP_Replika_standardTextBlobSpellCorrected,2472094,1.715%,2260254,0.1617%,0.6995,0.4518,0.4519,0.4749,0.1821,0.2386,0,1
NPP_Woebot,234505,0.3718%,220973,0.0435%,0.8068,0.4462,0.4621,0.6256,0.1873,0.2528,0,0
NPP_Woebot_compoundCustomSpellCorrected,236552,0.3851%,223053,0.0435%,0.8015,0.4452,0.4593,0.6261,0.1876,0.2527,0,1
NPP_Woebot_compoundSpellCorrected,241612,0.3789%,228114,0.0435%,0.7921,0.463,0.4813,0.5601,0.1996,0.2612,0,1
