word,score
urban dictionary,38021.0
fo' shizzle my nizzle,22848.0
dirty sanchez,21525.0
alaskan firedragon,21283.0
cock block,21064.0
fuck boy,19505.0
high school,18799.0
muffin top,18676.0
paris hilton,18217.0
no homo,17853.0
abc sex,16249.0
lol theory,15395.0
lil wayne,15314.0
eat out,15212.0
no offense,14296.0
or the terrorists have won,14228.0
attention whore,13938.0
rule 34,13649.0
blue balls,13306.0
angry dragon,12925.0
vatican roulette,12803.0
jesus hitler christ,12671.0
camel toe,12507.0
dutch oven,12256.0
productive procrastination,11992.0
george w. bush,11878.0
and then i found five dollars,11686.0
dick inches,11500.0
your other left,11264.0
blow job,11215.0
sniff test,11086.0
social chameleon,11052.0
maybe later,10907.0
don't take this the wrong way  but,10843.0
butter face,10764.0
rusty trombone,10711.0
shit just got real,10604.0
donald trump,10546.0
donkey punch,10444.0
soulja boy,10433.0
anal sex,10432.0
one upper,10274.0
it is what it is,10214.0
miley cyrus,10194.0
courtesy fart,9976.0
man chair,9938.0
man cave,9934.0
crop dusting,9820.0
the squids from chicago,9731.0
nom nom nom,9700.0
hot mess,9645.0
balls out,9454.0
gay buffer,9451.0
south park,9351.0
umop apisdn,9331.0
angry pirate,9294.0
that's what she said,9243.0
world of warcraft,9137.0
food baby,9111.0
internet explorer,8928.0
tramp stamp,8916.0
george bush,8880.0
harry potter,8859.0
the cake is a lie,8793.0
cleveland steamer,8775.0
a crapella,8588.0
united states,8508.0
passenger brake,8486.0
air guitar,8444.0
porn storm,8327.0
jesus ii,8168.0
that's a good question,8165.0
i'm just sayin',8159.0
friends with benefits,8095.0
alabama hot pocket,7918.0
people voice,7779.0
ezekiel 25:17,7717.0
chick flick,7694.0
good talk,7693.0
cold jerky,7655.0
tl dr,7587.0
steak and blowjob day,7540.0
party hats,7536.0
cum dumpster,7437.0
50 cent,7427.0
question fart,7414.0
it's complicated,7370.0
the shit out of,7345.0
youtube moment,7325.0
fox news,7259.0
hotness hypnosis,7152.0
parade maker,7081.0
booty call,7035.0
dick magnet,7030.0
facebook fever,7012.0
soccer mom,6996.0
slip of the thumbs,6978.0
nap mouth,6978.0
virgin ears,6966.0
fart and dart,6936.0
stall waiting,6926.0
stoplight party,6887.0
oral sex,6876.0
third base,6869.0
avril lavigne,6842.0
new jersey,6805.0
lindsay lohan,6747.0
true love,6740.0
your mom,6606.0
baseball cards,6584.0
hot topic,6561.0
ron paul,6558.0
pink sock,6409.0
white trash,6400.0
mental masturbation,6357.0
conversational blue balls,6318.0
friend high,6301.0
encyclopedia dramatica,6228.0
friend zone,6200.0
pirate bath,6113.0
shuffle shame,6036.0
professional student,6027.0
g spot,5985.0
mow the laundry,5937.0
chuck norris,5928.0
chicks before dicks,5891.0
star wars,5890.0
ann coulter,5822.0
roommate chicken,5818.0
valentine's day,5801.0
anthony ,5774.0
big in japan,5724.0
the game,5714.0
mouse potato,5655.0
ugly cry,5622.0
joe sixpack,5614.0
girlfriend voice,5596.0
porch monkey,5591.0
angelina jolie,5579.0
love tap,5572.0
pearl necklace,5551.0
eiffel tower,5533.0
led zeppelin,5493.0
sand nigger,5474.0
san diego,5413.0
piss in the wind,5413.0
testicular fortitude,5381.0
black friday,5350.0
cincinnati bowtie,5345.0
it's a trap,5328.0
hillary clinton,5314.0
spoiler alert,5287.0
that's how i roll,5277.0
tv stoned,5261.0
reality challenged,5244.0
ding dong ditch,5244.0
apocalypse sex,5224.0
pixel counting,5180.0
beer thirty,5112.0
tony danza,5085.0
critical ass,5033.0
2 girls 1 cup,5022.0
pop a squat,5021.0
sofa king,5002.0
hannah montana,5000.0
word up  kids?,4936.0
shoe whore,4934.0
dick flick,4930.0
jennifer aniston,4918.0
cosby sweater,4917.0
boom shakalaka,4913.0
booty grazing,4905.0
air quote,4902.0
jingle bowels,4889.0
reindeer gaming,4863.0
one cheek bench sneak,4848.0
pink floyd,4845.0
shoot the shit,4829.0
boyfriend drop,4818.0
new york,4811.0
parking karma,4790.0
chinnifer maniston,4759.0
no lifer,4729.0
ninja sex,4700.0
christmas eve eve,4676.0
putting lipstick on a pig,4669.0
high ten,4662.0
straight edge,4656.0
nigga please,4647.0
the beatles,4631.0
bus surfing,4605.0
thanksgiving pants,4605.0
bill o'reilly,4597.0
