word,score
fo' shizzle my nizzle,22848.0
shit just got real,10604.0
the squids from chicago,9731.0
that's what she said,9243.0
that's a good question,8165.0
steak and blowjob day,7540.0
the shit out of,7345.0
slip of the thumbs,6978.0
piss in the wind,5413.0
that's how i roll,5277.0
2 girls 1 cup,5022.0
word up  kids?,4936.0
one cheek bench sneak,4848.0
too posh to push,4542.0
sugar honey iced tea,4362.0
you wastin my minutes,4067.0
jackass of all trades,3412.0
bats in the cave,3324.0
system of a down,3235.0
two girls one cup,3179.0
i'm not gay seat,3096.0
rage against the machine,3094.0
do a barrel roll,2855.0
blue screen of death,2720.0
fo shizzle ma nizzle,2455.0
don't cross the streams,2425.0
put the boot in,2212.0
i pity the fool,2150.0
red hot chili peppers,2079.0
fo shizzle my nizzle,2002.0
panic! at the disco,1971.0
point of no return,1952.0
we need to talk,1937.0
son of a bitch,1920.0
catcher in the rye,1885.0
shut the fuck up,1834.0
thats what she said,1765.0
united states of america,1675.0
call of duty 4,1661.0
hung like a horse,1640.0
balls to the wall,1537.0
get to da choppa!,1487.0
fuck you pay me,1472.0
i'll pencil you in,1470.0
s on my chest,1424.0
don't drop the soap!,1383.0
winner winner chicken dinner,1311.0
for all intensive purposes,1299.0
smoke and a pancake,1282.0
snakes on a plane,1272.0
ghost ride the whip,1224.0
sex and the city,1222.0
jay and silent bob,1218.0
sex on the beach,1200.0
aqua teen hunger force,1186.0
diamond in the rough,1166.0
let's just be friends,1120.0
dick in a box,1111.0
some sort of idiot,1111.0
hair of the dog,1101.0
avatar: the last airbender,1094.0
bone thugs n harmony,1084.0
neuken in de keuken,1073.0
brother from another mother,1064.0
shit hit the fan,1049.0
death cab for cutie,1048.0
50 facts about women,1045.0
a tribe called quest,1038.0
mormon murders  the,1036.0
i could care less,1031.0
heart on your sleeve,988.0
boom goes the dynamite,986.0
see you next tuesday,973.0
shit was so cash,953.0
crazy like a fox,949.0
eat your heart out,937.0
that's how we roll,934.0
angry video game nerd,924.0
grower not a shower,918.0
i like your style,917.0
junk in the trunk,906.0
yippee ki-yay  motherfucker!,903.0
bush  george w.,886.0
gentleman and a scholar,877.0
ride or die chick,877.0
nice guys finish last,875.0
fo shizzle mah nizzle,873.0
to each his own,873.0
fuck yo couch nigga,861.0
je ne sais pas,841.0
spooning leads to forking,841.0
eat shit and die,834.0
kill it with fire,824.0
c u next tuesday,808.0
nigga stole my bike!,788.0
peanut butter jelly time,780.0
man in the boat,776.0
bow chicka wow wow,769.0
buffy the vampire slayer,767.0
cry me a river,748.0
back door sluts 9,740.0
king of the hill,718.0
nigger be good stick,714.0
pussy on a pedestal,714.0
je ne sais quoi,710.0
7 minutes in heaven,708.0
everything's coming up milhouse,704.0
flight of the conchords,693.0
back to the future,692.0
jai guru deva om,689.0
the devil wears prada,677.0
panic at the disco,665.0
ring around the rosey,662.0
birds and the bees,657.0
for shizzle my nizzle,657.0
shut the front door,651.0
nigga stole my bike,649.0
stone cold steve austin,647.0
boo boo kitty fuck,644.0
world's best rappers list,641.0
cotton headed ninny muggins,638.0
lord of the rings,636.0
talk to the hand,624.0
semper ubi sub ubi,621.0
teenage mutant ninja turtles,620.0
jack bauer power dump,608.0
throw under the bus,606.0
paint the town red,603.0
word to your mother,603.0
bow chicka bow wow,599.0
preaching to the choir,597.0
i shit you not,590.0
a winner is you,584.0
knuck if you buck,582.0
i need scissors! 61!,582.0
serbian -jew double bluff,582.0
diamond in the back,567.0
roll the hard six,567.0
im rick james bitch,567.0
bring me the horizon,563.0
pee in her butt,557.0
a really hoopy frood,547.0
weapons of mass destruction,546.0
the meaning of life,543.0
ed edd n eddy,541.0
30 seconds to mars,540.0
lord of the flies,540.0
cheese eating surrender monkeys,538.0
idk my bff jill,537.0
bom chicka wah wah,536.0
catholic university of america,534.0
get your rat out,530.0
united states of canada,528.0
apple of my eye,528.0
requiem for a dream,528.0
elephant in the room,523.0
oh no you didn't,523.0
kids in a sandbox,522.0
i beg to differ,515.0
out of your league,514.0
word of the day,513.0
the last great console,510.0
suck it and see,509.0
stick in the mud,505.0
itty bitty titty committee,504.0
whatever floats your boat,503.0
beating around the bush,503.0
die in a fire,500.0
see you n t,495.0
va te faire foutre,493.0
fresh prince of bel-air,491.0
uh ah grunt maceo,484.0
panties in a bunch,484.0
pope john paul ii,483.0
a can of whoopass,481.0
i'm rubber you're glue,479.0
university of south carolina,476.0
straight cash  homey,475.0
poop back and forth,466.0
sucks to your assmar,464.0
i lost the game,463.0
get to the chopper,462.0
good job dave man,461.0
don't drop the soap,461.0
same same but different,460.0
school of hard knocks,460.0
from first to last,459.0
oh no you di'int,454.0
smells like teen spirit,453.0
soap on a rope,452.0
chip on my shoulder,451.0
large and in charge,451.0
weapons of ass destruction,450.0
take off every zig,448.0
pain in the ass,446.0
jack of all trades,443.0
shit hits the fan,441.0
friend of bill w.,438.0
they took our jobs!,437.0
heck of a job,437.0
my super sweet 16,436.0
september that never ended,435.0
can you dig it,435.0
i am your father,431.0
h to the izzo,423.0
chicken of the sea,423.0
upper decker double blumpkin,422.0
love at first sight,420.0
jack in the crack,420.0
you win the internet,418.0
smack my bitch up,416.0
ur is unlock reality,414.0
dog in the bathtub,412.0
lipstick on a pig,411.0
sounds like a plan,409.0
rules 1 and 2,409.0
cock juggling thunder cunt,409.0
captain save a ho,406.0
up in this bitch,406.0
hip hop is dead,403.0
pirates of the caribbean,401.0
malcolm in the middle,400.0
50 facts about men,398.0
beat around the bush,395.0
light in the loafers,394.0
annie  the marvelous,394.0
w t f ?!?!,394.0
mighty white of you,393.0
making the brown rumble,392.0
first day of school,391.0
red ring of death,391.0
donkey raping shit eater,387.0
cut me some slack,387.0
israeli occupation of palestine,386.0
drugs are bad m'kay,386.0
slob on my knob,381.0
plano senior high school,381.0
case of the mondays,380.0
crawling in my skin,376.0
nice shoes! wanna fuck?,376.0
joy of satan ,373.0
calm the fuck down,372.0
fall on the grenade,372.0
i drink your milkshake,371.0
some type of way,371.0
don't fuck with me,368.0
no talent ass clown,365.0
brown paper bag test,363.0
shaun of the dead,363.0
fool of a took,361.0
dance with the devil,361.0
dressed to the nines,359.0
too cool for school,359.0
st. louis style pizza,359.0
captain save a hoe,359.0
super man dat hoe,358.0
sleep with the fishes,358.0
son of a gun,358.0
hop off my nuts,357.0
gong xi fa chai,356.0
yodel in the gulley,354.0
not safe for work,354.0
bullet for my valentine,352.0
play it by ear,352.0
snake in the blanket,352.0
tell me about it,351.0
the floor is lava,350.0
how bout them cowboys?!,349.0
dreich (old scots origin),349.0
red badge of courage,349.0
sex on a stick,346.0
horny 14 year old,346.0
jammin' on the one,345.0
take a cold shower,344.0
no woman no cry,344.0
jack in the box,342.0
new jersey meat hook,342.0
people mountain people sea,342.0
fuck a doodle doo,341.0
grandfather eating ice cream,340.0
no child left behind,340.0
as i lay dying,339.0
zack de la rocha,337.0
martin luther king boulevard,336.0
rude boy/ rude girl,335.0
story of my life,333.0
cheer up emo kid,333.0
eating at the y,332.0
tall glass of water,332.0
pining for the fjords,332.0
all bets are off,332.0
double clicking the mouse,331.0
red diaper doper baby,329.0
dont drop the soap,329.0
slut ass bitch whore,328.0
chunk up the deuce,328.0
back in the day,327.0
dont tase me bro,325.0
mr. t starter kit,324.0
annexation of puerto rico,324.0
i approve this message,323.0
just fucking google it,323.0
my chemical romance fans,323.0
polish the purple bishop,322.0
what had happened was,321.0
buck the fuckle up,320.0
out of the blue,320.0
speak of the devil,320.0
don't be a stranger,319.0
the legend of zelda,319.0
fuck the fucking fuckers,319.0
2 girls one cup,319.0
pull your finger out,318.0
the penis showing game,318.0
university of spoiled children,317.0
wet behind the ears,317.0
paddle the stink canoe,316.0
syndrome of a down,315.0
see you later alligator,314.0
dilly dally shilly shally,313.0
greater internet fuckwad theory,312.0
chillin like a villian,311.0
blood in blood out,311.0
rocky horror picture show,311.0
around the way girl,310.0
it insists upon itself,310.0
