word,score
or the terrorists have won,14228.0
it is what it is,10214.0
the cake is a lie,8793.0
putting lipstick on a pig,4669.0
don't tase me  bro,2414.0
( . y . ),1753.0
pics or it didn't happen,1680.0
you reap what you sow,1635.0
i don't give a fuck,1248.0
how i met your mother,1238.0
worst band in the world,1127.0
you had me at hello,1070.0
queens of the stone age,983.0
your mom goes to college,958.0
a bag of smashed assholes,932.0
a bitch and a half,879.0
a bustle in your hedgerow,849.0
stay gold  ponyboy...stay gold...,837.0
be there or be square,827.0
a babe in the woods,825.0
iron my shirt  bitch,771.0
i don't give a shit,757.0
kicking ass and taking names,736.0
pot calling the kettle black,720.0
i'm rick james  bitch,691.0
la li lu le lo,664.0
money talks  bullshit walks,655.0
mary kate and ashley olsen,630.0
i'll be in my bunk,620.0
don't shit where you eat,619.0
chrome-plated  360 degree asshole,608.0
me love you long time,584.0
a box of assorted creams,573.0
hit it and quit it,572.0
stupid is as stupid does,569.0
wrapped up like a douche,557.0
veni  vidi  vici,556.0
bill nye the science guy,545.0
why marijuana should be legal,535.0
laissez les bon temps roulez,530.0
bitch make me a sandwich,513.0
ouran high school host club,494.0
liar liar pants on fire,491.0
r2d2 with a hard on,486.0
you are not the father,484.0
the last temptation of christ,480.0
blowing smoke up my ass,478.0
16 will get you 20,475.0
i'd pee in her butt,461.0
between the buried and me,461.0
leave me in your mother,459.0
dark side of the moon,450.0
s p a s m,449.0
i got five on it,447.0
pour one for my homies,439.0
a bag full of motherfuckers,435.0
you're the man now dog,432.0
the end of the world,430.0
hot dog down a hallway,429.0
a big poo poo head,416.0
white girls with big asses,416.0
with a grain of salt,412.0
keep on  keepin' on,411.0
b kool bag your tool,410.0
pow right in the kisser,410.0
the goggles! they do nothing!,407.0
cleveland steamer with reverse teabag,400.0
democratic people's republic of korea,393.0
wham bam thank you ma'am,391.0
its on like donkey kong,386.0
a cat is fine too,376.0
drop it like it's hot,368.0
go big or go home,366.0
little man in the boat,364.0
two dogs in a bathtub,362.0
that time of the month,361.0
hopping down the bunny trail,361.0
higurashi no naku koro ni,359.0
bite my shiny metal ass,359.0
the birds and the bees,359.0
less qq more pew pew,358.0
heart attack on a plate,354.0
whose line is it anyway?,352.0
orgasm at 35 000 feet,352.0
grand theft auto: san andreas,342.0
stick it to the man,341.0
i like my steaks rare,341.0
come out of the closet,340.0
gag me with a spoon,338.0
how to entertain a blonde,336.0
the catcher in the rye,333.0
i less than three you,332.0
three sheets to the wind,327.0
stacking paper to the ceiling,326.0
over the shoulder boulder holder,324.0
all up in my grill,321.0
you got me fucked up,320.0
you snooze  you lose,315.0
hitchhiker's guide to the galaxy,312.0
i like poles not holes,308.0
hide and go fuck yourself,307.0
what you talkin bout willis?,307.0
pow! right in the kisser!,303.0
same bat-time  same bat-channel,300.0
talking out of your ass,300.0
fresh prince of bel air,300.0
i gotta take a shit,294.0
wham bam thank you mam,292.0
wet dog in a tub,287.0
stack paper to the ceiling,285.0
sofa king we todd did,283.0
the house on mango street,281.0
a licky boom boom down,280.0
charge it to the game,280.0
take one for the team,273.0
can i borrow a feeling?,272.0
blow it out your ass,269.0
bada bing  bada boom,269.0
working hard or hardly working,269.0
can't rain all the time,268.0
you suck at urban dictionary!,267.0
kick it up a notch,267.0
where they do dat at,264.0
hide and go get it,264.0
3 hots and a cot,263.0
washington university in st. louis,261.0
i ain't fronting  holmes,261.0
who let the dogs out,260.0
blow job on the rocks,259.0
the lord of the rings,258.0
the george w. bush experience,255.0
earth fire wind water heart,253.0
i ain't yo' baby's daddy!,252.0
gg no re k thx,252.0
i've made a huge mistake.,251.0
more evil than satan himself,246.0
my spoon is too big,245.0
rub someone's nose in it,243.0
tune my guitar to sad,242.0
beat the shit out of,241.0
once bitten twice shy ,239.0
burning beacon of raw sexuality,237.0
legends of the hidden temple,235.0
i got 5 on it,235.0
you can't polish a turd,235.0
fuck me til i fart,234.0
how now  brown cow?,233.0
nut up or shut up,231.0
keep your pimp hand strong,231.0
will smith's four favorite words,228.0
crown princess mary of denmark,228.0
that's what i'm talking about,227.0
the internet = serious business,227.0
g's up  ho's down,226.0
never rub another man's rhubarb!,224.0
coo coo for cocoa puffs,223.0
foster's home for imaginary friends,222.0
built like a brick shithouse,220.0
love peace and chicken grease,220.0
it takes two to tango,219.0
i already got like five,217.0
how to lose your virginity,215.0
bill and ted's excellent adventure,213.0
you know what i'm sayin,212.0
let's blow this popsicle stand!,212.0
nip it in the butt,211.0
can you hear me now?,211.0
game  set  match,210.0
close  but no cigar,209.0
talk shit  get hit,208.0
two tears in a bucket,208.0
system of a down fan,204.0
and there was much rejoicing,204.0
kick ass and take names,204.0
kiss my shiny metal ass,204.0
the passion of the christ,203.0
sucked cock to the top,203.0
where the sun don't shine,201.0
fuck - that - shit,201.0
to kill a mocking bird,199.0
fuck fuck fuck a duck...,198.0
soccer mom assault vehicle (s.m.a.v.),198.0
lol made of bacon robot!,197.0
what what in the butt,196.0
why do you hate freedom?,196.0
two monkeys fucking a football,194.0
the emporer has no clothes,193.0
bright eyed and bushy tailed,193.0
he man woman haters club,193.0
dick flapping in the wind,192.0
shit of a thousand wipes,192.0
wham bam thank you maam,191.0
wetter than an otter's pocket,190.0
this is huh  wow,189.0
ba da ba ba ba,189.0
fatty fatty 2 by 4,187.0
domo arigato  mr. roboto,186.0
bon chic  bon genre,185.0
reggie and the full effect,185.0
seperation of church and state,184.0
go make me a sandwich,183.0
i don't swing that way,183.0
a caboose like a moose,182.0
girls with low self esteem,182.0
shine on you crazy diamond,181.0
i want you in me,181.0
nip it in the bud,180.0
make love  not warcraft,180.0
pop lock & drop it,179.0
different strokes for different folks,179.0
system of a down hater,179.0
the world is quiet here,179.0
as ugly as a hatful,178.0
im high as a motherfucker,177.0
divide by 2 add 7,176.0
time to make the doughnuts,176.0
upper decker blumpkin ac slater,175.0
go die in a hole,175.0
more cushion for the pushin',175.0
same old  same old,174.0
what goes around comes around,173.0
a pot to piss in,172.0
who pissed in your coffee,171.0
15 will get you 20,170.0
it was a good day,170.0
crown prince frederik of denmark,169.0
i'd drink her bath water!,169.0
through the fire and flames,168.0
my gym partner's a monkey,168.0
dog in a bath tub,166.0
baby's arm clutching a plum,166.0
send a fax to cleveland,165.0
hit it from the back,165.0
inside peanut butter outside jelly,165.0
wake up with the king,164.0
i can't feel my face,163.0
where is your god now,161.0
colder than a witch's tits,160.0
land of steers and queers,160.0
hitchhikers guide to the galaxy,160.0
stick a fork in it,159.0
take the mickey out of,159.0
where they do that at,159.0
pussy ain't got no face,157.0
more cushin for the pushin,157.0
peace up  a-town down,156.0
triumph the insult comic dog,156.0
i see how it is,156.0
beat it out the frame,156.0
a bag of black cock,156.0
three cheers for sweet revenge,155.0
university of illinois at urbana-champaign,155.0
we were on a break!,155.0
a dick in the ass,155.0
where is your god now?,155.0
golden age of hip hop,154.0
before ze germans get here,153.0
what the fuck  over,152.0
take it to the bank,152.0
when it rains it pours,151.0
thousand oaks / westlake village,150.0
bi now  gay later,150.0
dirty sanchez (der-ti san- chez),148.0
cream of sum yung gai,147.0
the rocky horror picture show,146.0
oy with the poodles already!,146.0
the shit hits the fan,145.0
fosters home for imaginary friends,143.0
my word is my bond,142.0
and i was like ahh,142.0
bending corners in the hood,142.0
how do i shot web,140.0
put me in the pocket,140.0
baby's arm holding an apple,140.0
squeaky wheel gets the grease,140.0
peanut butter and pickle sandwich,138.0
hot skitty on wailord action,138.0
there's no i in team,137.0
a case of the r.kellys,137.0
all good in the hood,137.0
hanging in a chow line,137.0
put your foot in it,137.0
don't worry  be happy,136.0
hug it out  bitch,136.0
back  sack and crack,135.0
big hat  no cattle,135.0
hot ninja tantric monkey sex,135.0
100 mile an hour tape,135.0
jane  you ignorant slut!,134.0
2 + 2 = 5,133.0
the jury is still out,133.0
screenshots or it didn't happen,132.0
dead men tell no tales,132.0
it be like that sometimes,132.0
all up in them guts,132.0
nuke gay whales for jesus,131.0
all up in my kool-aid,131.0
it's all / everything's relative,131.0
don't tase me  bro!,131.0
first and a half base,131.0
god works in mysterious ways,130.0
fuck the shit out of,130.0
lead singer of linkin park,130.0
all hat  no cattle,129.0
house of the rising sun,129.0
keeping your pimp hand strong,127.0
the love of my life,127.0
the whitest kids u know,126.0
crazier than a shithouse rat,126.0
you got my nose open,126.0
you can't sit with us,126.0
big bank take little bank,125.0
flaming bag of dog poop,125.0
drop it like its hot,125.0
when god gives you lemons...,125.0
it's not you it's me,124.0
a change is gonna come,123.0
third city of the uk,123.0
