word,score
jesus hitler christ,12671.0
george w. bush,11878.0
your other left,11264.0
nom nom nom,9700.0
world of warcraft,9137.0
i'm just sayin',8159.0
friends with benefits,8095.0
alabama hot pocket,7918.0
fart and dart,6936.0
conversational blue balls,6318.0
mow the laundry,5937.0
chicks before dicks,5891.0
big in japan,5724.0
it's a trap,5328.0
ding dong ditch,5244.0
pop a squat,5021.0
shoot the shit,4829.0
christmas eve eve,4676.0
go down on,4538.0
george w bush,4538.0
drop a dime,4538.0
5 second rule,4498.0
fourth of july,4458.0
superman dat hoe,4410.0
break your crayons,4275.0
i love you,4227.0
rick roll reflex,4177.0
shoop da whoop,4040.0
fap fap fap,3919.0
fuck a duck,3888.0
my chemical romance,3864.0
new york city,3696.0
birmingham booty call,3664.0
the 'fuck' word,3551.0
mormon first base,3428.0
i'd hit it,3313.0
abercrombie and fitch,3233.0
trickle down theory,3231.0
nursing a semi,3211.0
make it rain,3188.0
wake and bake,3074.0
ho ho ho,3051.0
chasing the dragon,3051.0
armenian noodle dip,3016.0
empty a leg,2808.0
new year's eve,2787.0
mind of mencia,2726.0
ride or die,2717.0
bros before hoes,2706.0
holla back girl,2684.0
polish bike ride,2599.0
leave britney alone,2592.0
bumper sticker activism,2591.0
high school musical,2546.0
ass is grass,2487.0
one night stand,2472.0
kibbles and bits,2466.0
girl next door,2399.0
flying spaghetti monster,2390.0
early nerd special,2387.0
cheese and rice,2353.0
glass bottom boat,2322.0
all time low,2316.0
walk of shame,2307.0
halo 3 ,2302.0
white lighter myth,2297.0
superman that hoe,2291.0
westboro baptist church,2278.0
dora the explorer,2244.0
jump the shark,2204.0
world war ii,2184.0
finger a girl,2177.0
good lookin' out,2170.0
ass to ass,2090.0
osama bin laden,2074.0
half and half,2028.0
the eiffel tower,2010.0
mile high club,2009.0
ku klux klan,2007.0
texas chili bowl,1985.0
check your vitals,1983.0
bust a nut,1962.0
this is sparta,1954.0
poo my dime,1929.0
break the seal,1926.0
it's been real,1923.0
nuts to butts,1891.0
california car pool,1885.0
bitch ass nigga,1824.0
tits or gtfo,1811.0
nice guy syndrome,1790.0
flirt to convert,1790.0
you already know,1785.0
beavis and butthead,1717.0
naked brothers band,1694.0
suck my dick,1637.0
clark kent job,1629.0
no name basis,1621.0
notice me e-mail,1586.0
go fuck yourself,1584.0
fall out boy,1582.0
vote for pedro,1571.0
grand theft auto,1569.0
i'm your huckleberry,1566.0
cop a feel,1562.0
keep it real,1557.0
keep it 100,1534.0
new york minute,1523.0
insane clown posse,1522.0
fuck that shit,1511.0
cut a rug,1508.0
green day sucks,1490.0
kim jong il,1483.0
dine and dash,1465.0
down to earth,1457.0
mesh does doom,1452.0
first world problems,1447.0
new world order,1446.0
shit eating grin,1442.0
token black guy,1436.0
s & m,1420.0
drink the kool-aid,1409.0
bme pain olympics,1396.0
nine inch nails,1388.0
fuck this shit,1376.0
dick sucking lips,1373.0
purge the cabin,1370.0
no shave november,1368.0
f - bomb,1358.0
superman a ho,1351.0
horny 10-year olds,1342.0
fuck me boots,1337.0
run a train,1336.0
fuck kid rock,1336.0
no shit sherlock,1331.0
i'd tap that,1329.0
friend with benefits,1329.0
the circle game,1321.0
children of bodom,1321.0
dirty gas pump,1321.0
wu tang clan,1318.0
russian doll present,1318.0
word is bond,1314.0
homing from work,1313.0
high school sex,1270.0
the pink book,1260.0
skeet skeet skeet,1258.0
f'shizzle my n'izzle,1253.0
stage five clinger,1244.0
i like turtles,1241.0
jar jar binks,1240.0
pop the cherry,1230.0
t rex tits,1230.0
tossing the salad,1224.0
bust it baby,1222.0
meter high club,1204.0
in the cut,1201.0
dead nigger storage,1199.0
how to masturbate,1198.0
after the jump,1191.0
french military victories,1190.0
emo boys kissing,1174.0
do not want!,1173.0
abercrombie & fitch,1172.0
throw some d's,1160.0
oppressed white guy,1148.0
chuck a sickie,1148.0
ass to mouth,1147.0
what the fuck,1146.0
sarah jessica parker,1137.0
l. ron hubbard,1137.0
tom hanks mode,1136.0
superman that ho,1136.0
lamb of god,1131.0
ones and twos,1126.0
you forgot poland,1123.0
c'est la vie,1103.0
purple monkey dishwasher,1096.0
stairway to heaven,1095.0
shits and giggles,1085.0
saint patrick's day,1083.0
magic the gathering,1076.0
coheed and cambria,1073.0
toss your salad,1070.0
charlie the unicorn,1067.0
slipped a mickey,1049.0
doing a jono,1045.0
plead the fifth,1037.0
the american way,1033.0
kansas city shuffle,1020.0
fuck yo couch,1014.0
a badunkadunk butt,1013.0
chinese fire drill,1008.0
frying the frog,1001.0
steak and cheese,1000.0
alice in chains,995.0
b donka donk,993.0
national hangover day,991.0
for great justice,983.0
what it do,980.0
mindless self indulgence,972.0
p's and q's,955.0
ugly duckling syndrome,948.0
black eyed peas,941.0
nigger pregnancy test,940.0
i love lamp,938.0
dooney and bourke,936.0
university of michigan,936.0
team fortress 2,936.0
new england patriots,933.0
wake n bake,932.0
i am jack's,932.0
get a life,925.0
i'm not okay,918.0
three days grace,910.0
peaches and cream,907.0
that 70's show,902.0
jump the couch,885.0
american history x,884.0
horror movie rules,883.0
girls gone wild,880.0
george w. smith,879.0
ap us history,877.0
maynard james keenan,874.0
hit me up,874.0
hot and bothered,873.0
just the tip,872.0
new delhi dot,870.0
half life 2,868.0
gg no re,867.0
on the rag,867.0
up the irons,866.0
rub one out,861.0
suck my cock,860.0
cock-juggling thunder cunt,858.0
dracula in cleats,849.0
wipe me down,849.0
trust fund baby,845.0
anna nicole smith,844.0
sorry for partying,843.0
university of miami,841.0
loch ness monster,841.0
five finger discount,836.0
internet tough guy,832.0
nod of acknowledgement,830.0
stem the rose,829.0
miss south carolina,819.0
tap that ass,819.0
nigger please ,819.0
flick the bean,817.0
what up doe,816.0
suck it up,815.0
screw the pooch,809.0
calvin and hobbes,807.0
man from nantucket,802.0
zack morris phone,802.0
george w. bitch,801.0
red vs blue,800.0
a - tosser,797.0
popping the cherry,794.0
ernst & young,792.0
chuck e. cheese,789.0
pope benedict xvi,786.0
shower or grower,785.0
word is born,784.0
around the world,784.0
game or lame,776.0
a bay bay,773.0
i am error,773.0
pussy juice cocktail,773.0
alaskan snow dragon,772.0
ignorance is bliss,768.0
soy un perdedor,766.0
crank dat ,766.0
william and mary,765.0
samuel l. jackson,761.0
take the l,757.0
the penis game,757.0
flicking the bean,752.0
forget about it,752.0
kappa kappa gamma,751.0
cao ni ma,741.0
