word,score
sex,209868.0
hipster,139929.0
woody,90818.0
nigger,89259.0
slut,74925.0
love,71116.0
fuck,45944.0
pussy,45758.0
cunt,45643.0
nigga,43272.0
emo,43099.0
vagina,42483.0
feminist,39397.0
weed,39319.0
orgasm,36956.0
nerd,36207.0
ass,35517.0
shit,33311.0
muslim,32695.0
blowjob,31271.0
penis,29194.0
porn,28790.0
marijuana,26603.0
michael,25945.0
lol,25902.0
skeet,25271.0
gay,24396.0
santorum,22719.0
sexy,22669.0
4chan,22601.0
boobs,22359.0
eminem,22132.0
420,21975.0
myspace,21907.0
pineapples,21550.0
filipino,21275.0
noob,21234.0
geek,21127.0
milf,21078.0
whore,19736.0
school,19606.0
andre,19152.0
anal,18810.0
ebonlore,18423.0
/b/,18246.0
qwertyuiopasdfghjklzxcvbnm,18080.0
ho,17906.0
tits,17865.0
facebook,17077.0
bisexual,16943.0
scene,16815.0
kompla,16742.0
birthday,16730.0
procrasturbating,16477.0
pms,16349.0
guido,16287.0
asshole,16258.0
god,16233.0
stfu,16201.0
dick,16156.0
dumbass,15723.0
douchebag,15415.0
bush,15346.0
meh,15185.0
cum,15118.0
esrun,15117.0
dork,15014.0
bitch,14860.0
jesus,14774.0
james,14620.0
andrew,14519.0
samantha,14275.0
terrorist,14271.0
cock,14263.0
religion,14192.0
stupid,14024.0
faggot,13676.0
blumpkin,13286.0
tool,13251.0
troll,13183.0
canada,13065.0
twat,12996.0
wigger,12959.0
goth,12918.0
chode,12852.0
weeaboo,12723.0
homework,12459.0
internet,12443.0
fap,12421.0
douche,12349.0
boo,11944.0
matt,11872.0
shitload,11840.0
kevin,11813.0
life,11806.0
1337,11782.0
horny,11713.0
alex,11595.0
nick,11418.0
niglet,11366.0
ryan,11311.0
bromance,11277.0
alyssa,11254.0
katie,11252.0
queef,11225.0
bored,11191.0
music,11163.0
chris,11128.0
scientology,11120.0
sarah,11085.0
rape,11020.0
whatever,10933.0
fucktard,10921.0
lauren,10745.0
googleheimer's,10666.0
pwn,10547.0
smh,10512.0
sapiosexual,10475.0
bible,10466.0
ftw,10412.0
girlfriend,10368.0
beautiful,10351.0
asshat,10343.0
mtv,10301.0
republican,10290.0
anna,10280.0
ashley,10277.0
nice,10273.0
adam,10257.0
megan,10208.0
superman,10207.0
kkk,10183.0
dank,10183.0
fat,10173.0
cracker,10117.0
pwned,10101.0
eric,10077.0
69,10047.0
david,9949.0
dope,9887.0
jfgi,9862.0
punk,9840.0
tanorexia,9782.0
bedgasm,9695.0
emily,9665.0
bong,9606.0
sideboob,9577.0
hangry,9560.0
half-your-age-plus-seven,9528.0
snarky,9487.0
vegetarian,9458.0
redneck,9454.0
boner,9441.0
vignesh,9440.0
cool,9401.0
hot,9384.0
virgin,9371.0
teabagging,9294.0
cute,9175.0
halloween,9097.0
hentai,9073.0
dildo,9035.0
jonathan,8989.0
awesome,8969.0
cannabis,8942.0
keedon,8930.0
justin,8913.0
hoe,8905.0
cat,8875.0
chav,8859.0
fugly,8848.0
tupac,8832.0
high,8826.0
skank,8815.0
death,8813.0
loser,8790.0
stoner,8766.0
runescape,8720.0
cougar,8705.0
recrap,8698.0
chronic,8683.0
clit,8593.0
bdsm,8574.0
ha,8568.0
olivia,8546.0
nicole,8466.0
nympho,8424.0
poop,8386.0
h.o.l.l.a.n.d,8365.0
indoorsman,8355.0
neighbornet,8353.0
idgaf,8321.0
suicide,8297.0
fart,8286.0
condom,8267.0
girl,8257.0
shocker,8205.0
thanksgiving,8187.0
procrastination,8169.0
ricer,8163.0
computer,8110.0
lmao,8080.0
mantrum,8061.0
racist,8054.0
harfo,8049.0
crush,8043.0
cocaine,8031.0
jizz,7919.0
l337,7917.0
amanda,7902.0
brandon,7895.0
women,7852.0
maria,7845.0
jew,7794.0
kinky,7778.0
twilight,7773.0
screwvenir,7773.0
google,7721.0
prick,7721.0
tigger,7693.0
cankles,7663.0
dylan,7600.0
<3,7593.0
shart,7581.0
drunk,7576.0
masturbate,7547.0
crunk,7540.0
william,7520.0
karen,7517.0
masturbation,7496.0
textpectation,7467.0
retard,7464.0
ctfd,7443.0
bfd,7429.0
hannah,7417.0
homosexual,7404.0
mcdonalds,7382.0
xd,7375.0
marriage,7346.0
bukkake,7346.0
hell,7333.0
college,7292.0
wtf,7290.0
og,7274.0
literally,7233.0
n00b,7231.0
dog,7214.0
no,7198.0
sporking,7197.0
christian,7173.0
anime,7151.0
beer,7130.0
juggalo,7089.0
agnostic,7078.0
poser,7075.0
manstration,7074.0
asl,7071.0
zomg,7048.0
hella,6972.0
alone,6907.0
flavorgasm,6876.0
lesbian,6871.0
amy,6844.0
pimp,6843.0
grundle,6822.0
woman,6812.0
california,6805.0
trill,6802.0
mudkips,6777.0
wanker,6767.0
satan,6751.0
melissa,6747.0
party,6741.0
alt-tabbin',6725.0
julia,6719.0
asian,6717.0
morgan,6711.0
jessica,6702.0
sleep,6687.0
prefill,6672.0
holla,6662.0
cyberchondriac,6650.0
ffs,6581.0
poo,6549.0
dude,6518.0
chicago,6516.0
creampie,6477.0
wikipedia,6467.0
otp,6435.0
asdf,6411.0
fob,6334.0
gangsta,6334.0
butterface,6328.0
cunnilingus,6323.0
indie,6312.0
afrocentrism,6306.0
nas,6290.0
metrosexual,6283.0
pcp,6274.0
weenis,6259.0
poon,6257.0
ghetto,6257.0
whipped,6237.0
nsfw,6215.0
bbw,6190.0
chairdrobe,6181.0
clitoris,6175.0
ugly,6174.0
dejabrew,6168.0
scrub,6166.0
you,6146.0
passhole,6098.0
beardo,6098.0
cockblocalypse,6084.0
bmw,6077.0
vegan,6068.0
houdini,6030.0
twink,6024.0
jigaboo,6020.0
boobies,6013.0
boyfriend,5993.0
australia,5986.0
bukakke,5974.0
ninja,5964.0
mom,5940.0
chink,5893.0
depression,5893.0
andrea,5873.0
bogan,5870.0
metallica,5870.0
prostiboots,5862.0
mis-wave,5856.0
spooning,5830.0
jailbait,5823.0
09-nov,5818.0
head,5808.0
